"VARIABLE","UNIT","COUNTRY","TIME_FORMAT","POWERCODE","obsTime","obsValue","OBS_STATUS","UNIT_label","VARIABLE_label"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2005",18736,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2006",17103,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2007",15471,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2008",15471,"E","Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1991",5554,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1992",4170,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1993",3894,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1994",4053,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1995",4113,"B","Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1996",4301,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1997",4379,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1998",3876,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1999",4138,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2000",3502,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2001",3393,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2002",3339,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2003",3446,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2004",3218,"B","Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2005",3062,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2006",3133,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2007",3235,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2008",3146,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2009",3196,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2010",3183,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","GRC","P1Y","6","1984",5674,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","GRC","P1Y","6","1985",5789,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","GRC","P1Y","6","1986",5007,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","GRC","P1Y","6","1987",4812,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","GRC","P1Y","6","1988",5214,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1970",25200,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1971",25100,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1972",25400,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1973",27700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1974",28500,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1975",28900,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1976",30400,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1977",31700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1978",34600,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1979",36500,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1980",37700,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1981",38120,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1982",38951,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1983",38790,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1984",40112,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1985",36922,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1986",38913,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1987",41634,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1988",41427,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1989",39971,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1990",52260,"B","Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1991",54121,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1992",53166,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1993",53481,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1994",54211,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1995",53189,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1996",54373,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1997",55390,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1998",55362,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","1999",54526,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2000",55901,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2001",54460,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2002",55048,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2003",55569,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2004",56485,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2005",56638,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2006",59116,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2007",61613,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2008",64052,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2009",65493,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2010",69027,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2011",72023,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2012",74751,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2013",76470,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2014",77909,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2015",79534,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","FRA","P1Y","6","2016",81978,"E","Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","MDA","P1Y","6","2001",1069,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","MDA","P1Y","6","2002",1298,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","MDA","P1Y","6","2003",1640,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","MDA","P1Y","6","2004",1949,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
