"VARIABLE","UNIT","COUNTRY","MEASURE","TIME_FORMAT","POWERCODE","obsTime","obsValue","UNIT_label","VARIABLE_label","label.y"
"I-MTN-IWW","GEL","GEO","NAT","P1Y","0","2002",NA,"M","Lari","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","CZE","EUR_CONST","P1Y","0","2015",8149842,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MLT","NAT","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","EUR_CONST","P1Y","0","2015",74348,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SRB","EUR","P1Y","0","2007",11276973,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ROU","EUR","P1Y","0","2007",28483195,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVN","NAT","P1Y","0","2009",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ISL","EUR_CONST","P1Y","0","1996",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVN","NAT","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SVN","NAT","P1Y","0","2008",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NZL","EUR","P1Y","0","2004",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SWE","EUR_CONST","P1Y","0","2005",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ESP","NAT","P1Y","0","2014",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","JPN","EUR","P1Y","0","2007",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","RSD","SRB","NAT","P1Y","0","2008",1.097e+09,NA,"Serbian Dinar","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","NAT","P1Y","0","2008",358653,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LUX","NAT","P1Y","0","2004",927544,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","IRL","EUR","P1Y","0","2008",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NLD","NAT","P1Y","0","2003",4.1e+08,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","IRL","EUR","P1Y","0","2011",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","GRC","EUR_CONST","P1Y","0","1997",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NLD","NAT","P1Y","0","2006",3.77e+08,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FRA","EUR","P1Y","0","1998",3.3e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","CHF","LIE","NAT","P1Y","0","2010",NA,"M","Swiss Franc","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","GRC","EUR","P1Y","0","2009",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ROU","EUR_CONST","P1Y","0","1995",42393863,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","GRC","EUR_CONST","P1Y","0","2004",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","JPN","EUR_CONST","P1Y","0","2005",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MKD","EUR_CONST","P1Y","0","2008",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ITA","EUR","P1Y","0","2001",4.1e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","KOR","EUR_CONST","P1Y","0","2011",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","GRC","NAT","P1Y","0","2011",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","GRC","NAT","P1Y","0","2008",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","PLN","POL","NAT","P1Y","0","2004",3.9e+07,NA,"Zloty","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","GRC","NAT","P1Y","0","2009",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","POL","EUR_CONST","P1Y","0","2006",8474903,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","MEX","EUR","P1Y","0","2013",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ESP","NAT","P1Y","0","1995",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ESP","NAT","P1Y","0","1998",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ESP","NAT","P1Y","0","1996",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LIE","EUR","P1Y","0","2009",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LIE","EUR","P1Y","0","2010",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","HRV","EUR","P1Y","0","1998",701725,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","HRV","EUR","P1Y","0","1999",1055339,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LVA","EUR","P1Y","0","1995",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ESP","NAT","P1Y","0","2005",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LIE","EUR","P1Y","0","2015",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NOR","EUR","P1Y","0","1996",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NOR","EUR","P1Y","0","1997",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NOR","EUR","P1Y","0","2000",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","FRA","EUR_CONST","P1Y","0","2012",56355378,"E","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","NZL","EUR_CONST","P1Y","0","2010",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","IRL","EUR","P1Y","0","2005",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SWE","EUR_CONST","P1Y","0","2003",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SWE","EUR_CONST","P1Y","0","2004",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","SEK","SWE","NAT","P1Y","0","2003",NA,"M","Swedish Krona","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","PRT","EUR","P1Y","0","2011",0,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SWE","EUR_CONST","P1Y","0","2007",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","BEL","EUR","P1Y","0","1997",3.5e+07,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","LVA","EUR_CONST","P1Y","0","2013",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","ITA","NAT","P1Y","0","2003",1.08e+08,NA,"Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","SWE","EUR_CONST","P1Y","0","2015",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","TUR","EUR","P1Y","0","2002",NA,"M","Euro","Inland waterway infrastucture maintenance"
"I-MTN-IWW","TRY","TUR","NAT","P1Y","0","2012",NA,"M","Turkish Lira","Inland waterway infrastucture maintenance"
"I-MTN-IWW","EUR","IRL","EUR_CONST","P1Y","0","1997",NA,"M","Euro","Inland waterway infrastucture maintenance"
