"TRAFFIC_PARTICIPATION","AGE_GROUP","INJURY_TYPE","COUNTRY","UNIT","DATA_TYPE","TIME_FORMAT","obsTime","obsValue","OBS_STATUS","INJURY_TYPE_label","AGE_GROUP_label","TRAFFIC_PARTICIPATION_label"
"1010","190","740","ISR","NUMBER","CORRECTED","P1Y","2010",20,NA,"Killed","18-20 Years","Total"
"1010","370","740","JPN","NUMBER","CORRECTED","P1Y","2016",0,NA,"Killed","Unknown Age","Total"
"1010","140","740","LTU","NUMBER","CORRECTED","P1Y","2009",4,"f","Killed","10-14 Years","Total"
"1010","140","740","JPN","NUMBER","CORRECTED","P1Y","2014",31,NA,"Killed","10-14 Years","Total"
"1010","190","740","AUT","NUMBER","CORRECTED","P1Y","2008",60,NA,"Killed","18-20 Years","Total"
"1010","230","740","CAN","NUMBER","CORRECTED","P1Y","2006",274,NA,"Killed","21-24 Years","Total"
"1010","140","740","ARG","NUMBER","CORRECTED","P1Y","2012",107,"p","Killed","10-14 Years","Total"
"1010","140","740","ARG","NUMBER","CORRECTED","P1Y","2013",105,"f","Killed","10-14 Years","Total"
"1010","110","740","ISR","NUMBER","CORRECTED","P1Y","2013",277,NA,"Killed","Total","Total"
"1010","140","740","ARG","NUMBER","CORRECTED","P1Y","2014",109,NA,"Killed","10-14 Years","Total"
"1010","150","740","NOR","NUMBER","CORRECTED","P1Y","2012",6,NA,"Killed","15-17 Years","Total"
"1010","370","740","GB-IRTAD","NUMBER","CORRECTED","P1Y","2014",0,NA,"Killed","Unknown Age","Total"
"1010","230","740","CAN","NUMBER","CORRECTED","P1Y","2012",200,NA,"Killed","21-24 Years","Total"
"1010","110","740","LTU","NUMBER","CORRECTED","P1Y","2014",267,NA,"Killed","Total","Total"
"1010","240","740","IRL","NUMBER","CORRECTED","P1Y","2014",103,"p","Killed","25-64 Years","Total"
"1010","230","740","CAN","NUMBER","CORRECTED","P1Y","2014",152,"p","Killed","21-24 Years","Total"
"1010","130","740","IRL","NUMBER","CORRECTED","P1Y","2014",4,"p","Killed","06-09 Years","Total"
"1010","230","740","AUS","NUMBER","CORRECTED","P1Y","2015",83,"p","Killed","21-24 Years","Total"
"1010","230","740","CHL","NUMBER","CORRECTED","P1Y","2010",147,NA,"Killed","21-24 Years","Total"
"1010","110","740","ITA","NUMBER","CORRECTED","P1Y","2008",4725,NA,"Killed","Total","Total"
"1010","140","740","HUN","NUMBER","CORRECTED","P1Y","2010",11,NA,"Killed","10-14 Years","Total"
"1010","150","740","PRT","NUMBER","CORRECTED","P1Y","2005",39,"f","Killed","15-17 Years","Total"
"1010","120","740","GBR-NIR","NUMBER","CORRECTED","P1Y","2009",1,"f","Killed","00-05 Years","Total"
"1010","370","740","CHE","NUMBER","CORRECTED","P1Y","2011",0,NA,"Killed","Unknown Age","Total"
"1010","370","740","NLD","NUMBER","CORRECTED","P1Y","2007",0,"f","Killed","Unknown Age","Total"
"1010","190","740","POL","NUMBER","CORRECTED","P1Y","2014",199,NA,"Killed","18-20 Years","Total"
"1010","140","740","USA","NUMBER","CORRECTED","P1Y","2011",437,NA,"Killed","10-14 Years","Total"
"1010","140","740","USA","NUMBER","CORRECTED","P1Y","2012",418,NA,"Killed","10-14 Years","Total"
"1010","130","740","FRA","NUMBER","CORRECTED","P1Y","2013",24,NA,"Killed","06-09 Years","Total"
"1010","110","740","IRL","NUMBER","CORRECTED","P1Y","2005",396,NA,"Killed","Total","Total"
"1010","370","740","LTU","NUMBER","CORRECTED","P1Y","2013",1,NA,"Killed","Unknown Age","Total"
"1010","190","740","NZL","NUMBER","CORRECTED","P1Y","2008",43,"f","Killed","18-20 Years","Total"
"1010","120","740","NLD","NUMBER","CORRECTED","P1Y","2009",3,"f","Killed","00-05 Years","Total"
"1010","370","740","NLD","NUMBER","CORRECTED","P1Y","2014",0,NA,"Killed","Unknown Age","Total"
"1010","230","740","ITA","NUMBER","CORRECTED","P1Y","2005",578,NA,"Killed","21-24 Years","Total"
"1010","150","740","LUX","NUMBER","CORRECTED","P1Y","2013",0,NA,"Killed","15-17 Years","Total"
"1010","110","740","ITA","NUMBER","CORRECTED","P1Y","2009",4237,NA,"Killed","Total","Total"
"1010","140","740","CZE","NUMBER","CORRECTED","P1Y","2005",20,NA,"Killed","10-14 Years","Total"
"1010","140","740","CAN","NUMBER","CORRECTED","P1Y","2014",17,"p","Killed","10-14 Years","Total"
"1010","150","740","DNK","NUMBER","CORRECTED","P1Y","2010",8,NA,"Killed","15-17 Years","Total"
"1010","230","740","ITA","NUMBER","CORRECTED","P1Y","2012",258,NA,"Killed","21-24 Years","Total"
"1010","110","740","ITA","NUMBER","CORRECTED","P1Y","2006",5669,NA,"Killed","Total","Total"
"1010","230","740","ITA","NUMBER","CORRECTED","P1Y","2013",226,NA,"Killed","21-24 Years","Total"
"1010","150","740","CHE","NUMBER","CORRECTED","P1Y","2007",16,"f","Killed","15-17 Years","Total"
"1010","150","740","CZE","NUMBER","CORRECTED","P1Y","2010",17,NA,"Killed","15-17 Years","Total"
"1010","310","740","BEL","NUMBER","CORRECTED","P1Y","2014",178,"b","Killed","65 Years and more","Total"
"1010","120","740","GBR","NUMBER","CORRECTED","P1Y","2011",13,NA,"Killed","00-05 Years","Total"
"1010","230","740","GBR","NUMBER","CORRECTED","P1Y","2009",224,"f","Killed","21-24 Years","Total"
