"POWERCODE","SUBJECT","UNIT","LOCATION","SEX","FREQUENCY","TIME_FORMAT","REFERENCEPERIOD","obsTime","obsValue","OBS_STATUS","UNIT_label","SUBJECT_label","POWERCODE_label"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"2008",10572,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"2009",10801,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"2010",10968,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"2011",11118,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"2012",11313,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"2013",11512,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"2014",11693,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"1994",7936.117,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"1995",7948.278,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"1996",7959.016,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"1997",7968.041,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"1998",7976.788,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","COL","MA","A","P1Y",NA,"2011",22731.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","COL","MA","A","P1Y",NA,"2012",22997.09,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2001",8042.293,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2002",8082.121,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2003",8118.245,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2004",8169.441,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2005",8225.278,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2006",8267.948,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","TT","A","P1Y",NA,"1980",228.1,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2008",8321.541,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2009",8341.483,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2010",8361.069,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2011",8388.534,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2012",8426.311,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUT","TT","A","P1Y",NA,"2013",8468.57,"B","Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","LUX","FE","A","P1Y",NA,"2001",224,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","CAN","TT","A","P1Y",NA,"1970",21746,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","LUX","FE","A","P1Y",NA,"2003",227.9,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","LUX","FE","A","P1Y",NA,"2004",230.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","TT","A","P1Y",NA,"1992",261.1,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","LUX","FE","A","P1Y",NA,"2006",237,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1959",1028.5,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1960",1059.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","TT","A","P1Y",NA,"1995",267.4,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","TT","A","P1Y",NA,"1996",268.9,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","TT","A","P1Y",NA,"1997",270.9,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","TT","A","P1Y",NA,"1998",273.8,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1965",1284.5,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","TT","A","P1Y",NA,"2000",281.2,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1967",1340.8,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1968",1407.2,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1969",1447,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1970",1488.9,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","FE","A","P1Y",NA,"1969",100.6,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","FE","A","P1Y",NA,"1970",101.2,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISL","FE","A","P1Y",NA,"1971",102,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1956",1723,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1957",1740,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1958",1756,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1959",1771,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1960",1786,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1961",1801,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","CAN","TT","A","P1Y",NA,"1995",29302.31,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","CZE","TT","A","P1Y",NA,"1951",9023.17,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","CZE","TT","A","P1Y",NA,"1952",9125.183,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1965",1855,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","CZE","TT","A","P1Y",NA,"1954",9290.617,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","CZE","TT","A","P1Y",NA,"1955",9365.969,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","CHL","TT","A","P1Y",NA,"1957",7115.675,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","IDN","TT","A","P1Y",NA,"1977",135584.9,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","LVA","FE","A","P1Y",NA,"1969",1276.187,"B","Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1971",1941,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1972",1956,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1973",1969,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1986",2154.2,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1987",2189.9,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1976",1999,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1977",2006,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1978",2013,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"1979",2019,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","ISR","FE","A","P1Y",NA,"1991",2489.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","POL","TT","A","P1Y",NA,"1961",29965,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","POL","TT","A","P1Y",NA,"1962",30324,NA,"Persons","Population","Thousands"
